COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
21047,42220,0.000067360,0.000000000,0.000000000,0.000060185
21047,42217,0.061163315,0.024718284,0.011406844,0.056964882
21047,42240,0.656360513,0.688113413,0.840304183,0.663356504
21047,42262,0.173992119,0.095238095,0.126742712,0.166350697
21047,42215,0.010339834,0.001454017,0.000000000,0.009358731
21047,42464,0.001481931,0.001090513,0.002534854,0.001474527
21047,42408,0.005287798,0.000727008,0.000000000,0.004784689
21047,42254,0.004378431,0.000000000,0.002534854,0.003972195
21047,42232,0.009127345,0.002544529,0.001267427,0.008395775
21047,42266,0.028493483,0.008724100,0.008871990,0.026391020
21047,42241,0.034118083,0.173754998,0.002534854,0.044927929
21047,42345,0.000067360,0.000000000,0.000000000,0.000060185
21047,42286,0.000336802,0.000000000,0.000000000,0.000300924
21047,42236,0.013337375,0.003635042,0.001267427,0.012247600
21049,40515,0.003320357,0.000000000,0.000000000,0.002991078
21049,40392,0.066865125,0.220945083,0.005602241,0.078180599
21049,40391,0.921170140,0.778416347,0.991596639,0.910938064
21049,40353,0.005953744,0.000000000,0.002801120,0.005414883
21049,40509,0.002690634,0.000638570,0.000000000,0.002475375
21051,40914,0.030466155,0.011513158,0.003787879,0.028532750
21051,40983,0.022677815,0.014802632,0.003787879,0.021659898
21051,40972,0.070324132,0.057565789,0.041666667,0.068728522
21051,40402,0.000687207,0.000000000,0.000000000,0.000624805
21051,40944,0.000000000,0.000000000,0.003787879,0.000104134
21051,40941,0.000000000,0.000000000,0.003787879,0.000104134
21051,40741,0.000572672,0.000000000,0.000000000,0.000520671
21051,40932,0.000000000,0.000000000,0.003787879,0.000104134
21051,40951,0.000000000,0.000000000,0.003787879,0.000104134
21051,40962,0.875272019,0.916118421,0.935606061,0.879516818
21053,42603,0.035385559,0.000000000,0.000000000,0.031346258
21053,42717,0.012067908,0.006521739,0.017647059,0.011777496
21053,42602,0.952546533,0.993478261,0.982352941,0.956876246
21055,42064,0.906777802,0.988165680,0.947368421,0.912664640
21055,42459,0.021276596,0.002958580,0.000000000,0.019858156
21055,42037,0.000000000,0.000000000,0.026315789,0.000202634
21055,42033,0.000000000,0.000000000,0.026315789,0.000202634
21055,42450,0.012283395,0.000000000,0.000000000,0.011347518
21055,42078,0.034218030,0.005917160,0.000000000,0.032016211
21055,42411,0.025444176,0.002958580,0.000000000,0.023708207
21057,42129,0.002226620,0.000000000,0.000000000,0.002051048
21057,42167,0.001484414,0.000000000,0.000000000,0.001367366
21057,42759,0.000000000,0.000000000,0.003937008,0.000227894
21057,42717,0.994557150,1.000000000,0.988188976,0.994302644
21057,42728,0.000742207,0.000000000,0.000000000,0.000683683
21057,42715,0.000989609,0.000000000,0.007874016,0.001367366
21059,42376,0.043380979,0.008691333,0.009615385,0.039715046
21059,42366,0.050962332,0.005959772,0.006868132,0.046198342
21059,42303,0.388560629,0.423888751,0.442994505,0.392860609
21059,42302,0.022114090,0.115967221,0.001373626,0.028864258
21059,42301,0.417647826,0.381673703,0.525412088,0.417881476
21059,42304,0.029369596,0.053886268,0.001373626,0.030494788
21059,42377,0.000000000,0.000000000,0.000686813,0.000019411
21059,42378,0.020006951,0.005711448,0.006181319,0.018498748
21059,42356,0.000000000,0.000000000,0.000686813,0.000019411
21059,42327,0.001042708,0.000000000,0.000000000,0.000931731
21059,42348,0.002954338,0.000496648,0.000000000,0.002678727
21059,42351,0.006864491,0.000496648,0.002747253,0.006250364
21059,42355,0.017096059,0.003228210,0.002060440,0.015587088
21061,42171,0.155380489,0.131782946,0.000000000,0.153520898
21061,42754,0.017264499,0.031007752,0.092592593,0.018214344
21061,42275,0.035031847,0.023255814,0.018518519,0.034639779
21061,42210,0.347468991,0.519379845,0.296296296,0.350626118
21061,42101,0.101072746,0.023255814,0.000000000,0.098552610
21061,42721,0.009386524,0.023255814,0.018518519,0.009757684
21061,42207,0.078612135,0.054263566,0.018518519,0.077573589
21061,42285,0.031176668,0.023255814,0.037037037,0.031061961
21061,42160,0.036708012,0.054263566,0.000000000,0.036753944
21061,42163,0.005531344,0.038759690,0.018518519,0.006342495
21061,42729,0.059503855,0.000000000,0.481481481,0.061961295
21061,42259,0.122862890,0.077519380,0.018518519,0.120995284
21063,41180,0.000874126,0.000000000,0.000000000,0.000837872
21063,41149,0.177010490,0.140000000,0.000000000,0.172601592
21063,41472,0.041083916,0.020000000,0.000000000,0.039798911
21063,41164,0.040646853,0.000000000,0.020408163,0.039379975
21063,41171,0.706730769,0.840000000,0.979591837,0.715123586
21063,40351,0.033653846,0.000000000,0.000000000,0.032258065
21065,40380,0.000847577,0.000000000,0.000000000,0.000792812
21065,40472,0.109337477,0.117166213,0.098360656,0.109540169
21065,40336,0.889814946,0.882833787,0.901639344,0.889667019
21067,40588,0.007731787,0.036203654,0.000311333,0.009922553
21067,40580,0.000199444,0.001813541,0.000311333,0.000343563
21067,40579,0.000339055,0.001813541,0.000311333,0.000465848
21067,40514,0.041730378,0.005843632,0.006070984,0.037285273
21067,40515,0.102481086,0.013164965,0.033312578,0.092150469
21067,40507,0.010391044,0.067504030,0.046077210,0.016677342
21067,40576,0.000545148,0.001746373,0.000311333,0.000640540
21067,40512,0.000511907,0.001544868,0.000311333,0.000593956
21067,40544,0.004075310,0.009672219,0.000311333,0.004419729
21067,40516,0.006834288,0.001141859,0.001867995,0.006155011
21067,40502,0.093266763,0.047219237,0.146481943,0.091265358
21067,40524,0.004175032,0.014441161,0.000311333,0.004920515
21067,40574,0.000491962,0.001679205,0.000311333,0.000588133
21067,40522,0.003344015,0.022501343,0.000311333,0.004891399
21067,40523,0.002931830,0.018739925,0.000311333,0.004204274
21067,40324,0.000691407,0.000000000,0.000000000,0.000605602
21067,40581,0.000352351,0.001679205,0.000311333,0.000465848
21067,40583,0.003689718,0.013567974,0.000311333,0.004419729
21067,40505,0.081140555,0.096722192,0.082658780,0.082548186
21067,40591,0.003556755,0.022904352,0.000311333,0.005112677
21067,40391,0.000039889,0.000067168,0.000000000,0.000040762
21067,40361,0.000159555,0.000134336,0.000000000,0.000151400
21067,40577,0.000212740,0.001410532,0.000311333,0.000320270
21067,40510,0.002439868,0.013567974,0.004669988,0.003488034
21067,40508,0.078288503,0.069048898,0.190224159,0.081674722
21067,40578,0.000285870,0.002149382,0.000311333,0.000448378
